city,country,eiu_region,year,value,rank
Amsterdam,Netherlands,Western Europe,2021,78,41
Madrid,Spain,Western Europe,2021,79,36
Barcelona,Spain,Western Europe,2021,80,33
Montreal,Canada,North America,2021,70,71
Shenyang,China,Asia & Australasia,2021,73,61
Hangzhou,China,Asia & Australasia,2021,74,60
Taipei,Taiwan,Asia & Australasia,2021,76,53
Stuttgart,Germany,Western Europe,2021,78,41
Brussels,Belgium,Western Europe,2021,79,36
Nouméa,New Caledonia,Asia & Australasia,2021,80,33
Tianjin,China,Asia & Australasia,2021,73,61
Wuhan,China,Asia & Australasia,2021,73,61
St Petersburg,Russia,Eastern Europe,2021,50,143
Detroit,US,North America,2021,64,97
San Juan,US,North America,2021,66,92
Perth,Australia,Asia & Australasia,2021,70,71
Guangzhou,China,Asia & Australasia,2021,70,71
Nantong,China,Asia & Australasia,2021,70,71
Suzhou,China,Asia & Australasia,2021,71,66
Berlin,Germany,Western Europe,2021,76,53
Rome,Italy,Western Europe,2021,77,50
Manchester,UK,Western Europe,2021,78,41
Harare,Zimbabwe,Middle East & Africa,2021,64,97
Phnom Penh,Cambodia,Asia & Australasia,2021,66,92
Calgary,Canada,North America,2021,67,88
Hanoi,Vietnam,Asia & Australasia,2021,69,76
Guatemala City,Guatemala,Latin America & the Caribbean,2021,63,101
Zhuhai,China,Asia & Australasia,2021,69,76
Bangkok,Thailand,Asia & Australasia,2021,72,65
Dubai,UAE,Middle East & Africa,2021,64,97
Qingdao,China,Asia & Australasia,2021,68,81
Fuzhou,China,Asia & Australasia,2021,68,81
Kaohsiung,Taiwan,Asia & Australasia,2021,70,71
Taichung,Taiwan,Asia & Australasia,2021,71,66
Lyon,France,Western Europe,2021,75,56
Lima,Peru,Latin America & the Caribbean,2021,58,118
Montevideo,Uruguay,Latin America & the Caribbean,2021,59,114
Port Moresby,Papua New Guinea,Asia & Australasia,2021,61,109
Santiago de Querétaro,Mexico,Latin America & the Caribbean,2021,60,112
Ho Chi Minh City,Vietnam,Asia & Australasia,2021,64,97
Xian,China,Asia & Australasia,2021,65,96
Dhaka,Bangladesh,Asia & Australasia,2021,66,92
Stockholm,Sweden,Western Europe,2021,73,61
